__v,_id,amount,author,book_cover,category,description,manufacturer,name,number_of_page,price,publication_date,publisher,stars.averageStars,stars.totalAmountVotes,stars.totalNumberStars
0,6294784b498c7a6524551c35,101,NXB Văn Học,Bìa cứng,sachvanhoc,"Tất cả những trải nghiệm trong chuyến phiêu du theo đuổi vận mệnh của mình đã giúp Santiago thấu hiểu được ý nghĩa sâu xa nhất của hạnh phúc, hòa hợp với vũ trụ và con người.",NXB Trẻ,Nhà giả kim ,350,192000,2020,NXB Hội Nhà Văn,4.25,4,17
0,62947db18d775c0116971553,101,Koyoharu Gotouge,Bìa mềm,truyentranh,"Trận chiến giữa nhóm Tanjiro và thủy tổ của loài quỷ - Kibutsuji Muzal đang dần ngã ngũ…!! Bốn loại thuốc của Tamayo đã làm Muzan suy yếu và dồn hắn vào đường cùng. Số phận của Tanjiro và Nezuko, cũng như toàn đội Diệt quỷ sẽ ra sao!? Trận chiến tưởng chừng vĩnh viễn cuối cùng cũng đi đến hồi kết!!",NXB Trẻ,"Thanh Gươm Diệt Quỷ - Kimetsu No Yaiba - Tập 23: Vượt Qua Tháng Năm, Sinh Mệnh Tỏa Rạng",350,25000,2021,NXB Kim Đồng,3,1,3
0,62947e428d775c0116971558,50,Nhiều tác giả,Bìa cứng,sachthieunhi,"Tôi vẽ với 300 trang sách bao gồm những kỹ năng cơ bản cần có của một họa sĩ truyện tranh, từ tạo hình nhân vật, thiết kế bối cảnh, biểu cảm, các kỹ thuật diễn họa cho đến luật phối cảnh. Đây là một cuốn cẩm nang tuyệt vời dành cho các bạn đang bắt đầu học vẽ truyện tranh. Những kiến thức này có thể không giúp các bạn vẽ đẹp ngay lập tức nhưng sẽ là nền tảng vững chắc giúp bạn hình thành các tiêu chuẩn chuyên nghiệp trong nghề và không mất thời gian tự mò mẫm. Phần minh họa cho các bài học cũng rất hấp dẫn và sáng tạo. Các tác giả đã sử dụng chính nhân vật và trang truyện của mình để làm rõ sự liên quan giữa lý thuyết và thực tế, tính ứng dụng rõ ràng của các kỹ thuật và quy trình sáng tác.",Đông Á,Tôi Vẽ - Phương Pháp Tự Học Vẽ Truyện Tranh,350,77000,2020,Đông A,4.5,2,9
0,629481c664224ee2043fbfdd,50,Napoleon Hill,Bìa cứng,sachkinhte,"Think and Grow Rich - Nghĩ giàu và làm giàu là một trong những cuốn sách bán chạy nhất mọi thời đại. Đã hơn 60 triệu bản được phát hành với gần trăm ngôn ngữ trên toàn thế giới và được công nhận là cuốn sách tạo ra nhiều triệu phú, một cuốn sách truyền cảm hứng thành công nhiều hơn bất cứ cuốn sách kinh doanh nào trong lịch sử.",Nhã Nam,Nghĩ Giàu Làm Giàu,350,88000,2020,NXB Tổng Hợp TPHCM,4,1,4
0,6294827764224ee2043fbfe0,50,Nguyễn Dương,Bìa cứng,sachkinhte,"Bạn đang cầm trên tay cuốn sách Trải nghiệm khách hàng xuất sắc được viết từ hơn 22 năm kinh nghiệm, qua nhiều vị trí, môi trường khác nhau của ông Nguyễn Dương, một chuyên gia cấp quốc tế, một trong những người nhiệt huyết và chuyên sâu nhất về trải nghiệm khách hàng.",Nhã Nam,Trải Nghiệm Khách Hàng Xuất Sắc,350,200000,2020,NXB Thế Giới,5,1,5
1,6294832a64224ee2043fbfe3,50,Bộ Giáo Dục Và Đào Tạo,Bìa cứng,sachgiaokhoa,Hoá Học 11 - Nâng Cao (2020),Nhã Nam,Hoá Học 11 - Nâng Cao,350,23000,2020,NXB Giáo Dục Việt Nam,,,
0,6294836764224ee2043fbfe6,50,Bộ Giáo Dục Và Đào Tạo,Bìa cứng,sachgiaokhoa,Hoá Học 11 - Nâng Cao (2020),Nhã Nam,Atlat Địa Lí Việt Nam,350,31000,2020,NXB Giáo Dục Việt Nam,5,1,5
1,6294843664224ee2043fbfe9,47,William B Irvine,Bìa mềm,sachkynangsong,"Bạn mong muốn điều gì từ cuộc sống này? Có thể câu trả lời của bạn là muốn có một người bạn đời biết quan tâm, một công việc tốt và một ngôi nhà đẹp, nhưng chúng thực ra chỉ là một số thứ bạn muốn có trong cuộc sống. Khi hỏi bạn mong muốn điều gì từ cuộc sống này, tôi đang hỏi theo nghĩa rộng nhất. Tôi không hỏi về những mục tiêu mà bạn đề ra khi thực hiện các hoạt động hằng ngày, mà tôi đang hỏi về mục tiêu lớn lao trong cuộc sống của bạn. Nói cách khác, trong số những thứ bạn có thể theo đuổi trong cuộc sống, thứ nào bạn tin là có giá trị nhất?",Nhã Nam,Chủ Nghĩa Khắc Kỷ - Phong Cách Sống Bản Lĩnh Và Bình Thản,400,100000,2019,NXB Công Thương,5,2,10
0,6294851964224ee2043fbfec,50,Vũ Hải,Bìa cứng,sachngoaingu,"Bạn đang chuẩn bị thi IELTs mà chưa biết bắt đầu từ đâu? Vốn từ vựng còn thiếu hay cách diễn đạt còn gượng gạo, chưa mượt mà và tự nhiên là điểm yếu của bạn?.Cuốn No Vocab – No Worries sẽ giúp bạn “hóa giải” những trở ngại trên con đường chinh phục đỉnh cao IELTs. Cuốn sách được in màu với những hình minh họa sinh động, đề cập đến nhiều chủ đề khác nhau trong các đề thi thực của IELTs giúp thí sinh nâng cao vốn từ vựng cần thiết và lối tư duy để nảy ra ý tưởng và ứng biến với mọi trường hợp, mọi câu hỏi. Những mẹo nhỏ cũng được tác giả chọn lọc và trình bày ngắn gọn, dễ hiểu. Đây quả là một cuốn sách thiết thực mà bất cứ ai trên hành trình chinh phục tấm chứng chỉ IELTS cũng nên sở hữu cho mình một cuốn.",Nhã Nam,No Vocab - No Worries,350,104000,2020,NXB Đại học Kinh tế quốc dân,5,1,5
1,6294862264224ee2043fbfef,50,Son Heung Min,Bìa cứng,sachthethao,"Cuốn hồi kí gồm 30 chương kể về hành trình của Son Heung-min từ một cậu bé mê bóng đá ở vùng quê Chuncheon (Hàn Quốc) cho đến khi trở thành chân sút đáng gờm ở giải Ngoại hạng Anh. Kèm theo đó là 6 câu chuyện được kể qua ảnh và nhiều trang infographic thống kê, ghi lại những kỉ lục, thành tích đáng nể của cầu thủ. ",Đông A,Hồi Kí Bóng Đá Của Son Heung Min: Đường Đến Châu Âu,350,160000,2020,NXB Kim Đồng,,,
